REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Enterprise size,Advanced technology acquisition,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,Cl,c,STATUS,DEx
2009,Canada,2016A000011124,Oil and gas extraction [211,Small enterprises (20 to 99 employees),License,Percent,239,units,0,v80736892,1.4.2.3,7.1,B,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Small enterprises (20 to 99 employees),Customize,Percent,239,units,0,v80736893,1.4.2.4,7.1,B,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Small enterprises (20 to 99 employees),Develop,Percent,239,units,0,v80736894,1.4.2.5,14.3,E,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Small enterprises (20 to 99 employees),Merger or acquisition,Percent,239,units,0,v80736895,1.4.2.6,0.0,A,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Medium-sized enterprises (100 to 249 employees),Purchase,Percent,239,units,0,v80736896,1.4.3.1,,x,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Medium-sized enterprises (100 to 249 employees),Lease,Percent,239,units,0,v80736897,1.4.3.2,,x,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Medium-sized enterprises (100 to 249 employees),License,Percent,239,units,0,v80736898,1.4.3.3,,x,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Medium-sized enterprises (100 to 249 employees),Customize,Percent,239,units,0,v80736899,1.4.3.4,,x,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Medium-sized enterprises (100 to 249 employees),Develop,Percent,239,units,0,v80736900,1.4.3.5,,x,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Medium-sized enterprises (100 to 249 employees),Merger or acquisition,Percent,239,units,0,v80736901,1.4.3.6,,x,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Large enterprises (250 and more employees),Purchase,Percent,239,units,0,v80736902,1.4.4.1,,x,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Large enterprises (250 and more employees),Lease,Percent,239,units,0,v80736903,1.4.4.2,,x,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Large enterprises (250 and more employees),License,Percent,239,units,0,v80736904,1.4.4.3,,x,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Large enterprises (250 and more employees),Customize,Percent,239,units,0,v80736905,1.4.4.4,,x,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Large enterprises (250 and more employees),Develop,Percent,239,units,0,v80736906,1.4.4.5,,x,1
2009,Canada,2016A000011124,Oil and gas extraction [211,Large enterprises (250 and more employees),Merger or acquisition,Percent,239,units,0,v80736907,1.4.4.6,,x,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Total enterprises,Purchase,Percent,239,units,0,v80736908,1.5.1.1,81.8,E,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Total enterprises,Lease,Percent,239,units,0,v80736909,1.5.1.2,10.8,E,1
2009,Canada,2016A000011124,Mining and quarrying (except oil and gas) [212,Total enterprises,License,Percent,239,units,0,v80736910,1.5.1.3,0.0,A,1
