received_date,Auth_Description,Op_Name,Short Notice Short Notice,Description,Variation Number Variation Number,Service_Type_Other_Details
17/06/05,Perth & Kinross Council,MIDLAND BLUEBIRD LTD,No,Standard National,4,No service: 25/26 December & 1/2 January.
29/07/20,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,Yes,Standard National,38,"Service varied due to Covid 19
(Service prior was: Service variation due to COVID-19 emergency situation)

TEMPORARY VARIATION - COVID 19 - revised timetable"
11/05/23,Angus Council,J P MINICOACHES LTD,Yes,Standard National,1,School days only
03/08/07,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,10,"No service 25 & 26 December & 1 January. Sunday service on 2 January. Saturday service on 3 & 4 January,Good Friday, Easter Monday, Edinburgh May Day, Victoria Day, Autumn Holiday & weekdays between 27 & 31 December"
09/06/22,Aberdeenshire Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,8,Mon - Sat Half Hourly Daytime
,,MCDADE TRAVEL LTD,No,Standard International,0,
18/06/18,Dumfries & Galloway Council,WESTERN BUSES LIMITED,No,Standard International,4,Minor timetable changes between Girvan Railway Station and Girvan Harbour. Wednesday afternoon Girvan Academy trip moved earlier
20/03/20,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,Yes,Standard International,15,Service variation due to emergency situation
02/02/12,Falkirk District Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,15,"No service: 1/2 Jan & 25/26 Dec.
Sunday service: E. Mon/M.Day/Loc.pub.hols"
06/07/18,West Lothian Council,MIDLAND BLUEBIRD LTD,No,Standard National,24,Monday to Sunday
05/12/07,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,No,Standard International,2,
25/11/11,Falkirk District Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,7,Monday to Sunday
25/05/17,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,2,1 return journey Monday to Friday schooldays only.
18/05/15,West Lothian Council,SCOTTISH CITYLINK COACHES LTD,Yes,Standard National,6,"Monday to Friday, varying frequency"
05/11/21,East Lothian Council,LOTHIAN BUSES LIMITED,Yes,Standard International,44,Revised Timetables. Weekday and Saturday.
14/07/22,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,No,Standard National,6,Daily
18/11/04,Dumfries & Galloway Council,WESTERN BUSES LIMITED,Yes,Standard International,1,
29/08/08,Falkirk District Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,1,Monday to Friday School Days only
25/06/07,Strathclyde Partnership for Transport,WESTERN BUSES LIMITED,Yes,Standard International,3,"Service will not operate on a Sunday

No service on 25th 26th December or 1st 2nd January"
14/09/12,Dundee City Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,17,Revised timetable with increased daytime frequency Monday to Saturday
12/10/09,Highland Council,HIGHLAND COUNTRY BUSES LTD,Yes,Standard National,5,Monday to Friday
12/11/20,Highland Council,HIGHLAND COUNTRY BUSES LTD,No,Standard National,11,Two journeys per day during school term.
24/06/11,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,Yes,Standard National,1,"Monday to Saturday
"
10/12/02,Stirling Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,4,"This service will not operate 25, 26 December, 1, 2 January.
Saturday timetable:27/30/31 December."
29/10/04,The City of Edinburgh Council,MIDLAND BLUEBIRD LTD,No,Standard National,8,Daily.  Hourly frequency or less
05/08/11,Perth & Kinross Council,SCOTTISH CITYLINK COACHES LTD,No,Standard National,14,
23/09/22,Fife Council,FIFE SCOTTISH OMNIBUSES LTD,No,Standard International,39,Revised route and timetable
07/08/20,Perth & Kinross Council,J DOCHERTY & SONS LTD,Yes,Standard National,5,"Crieff High, St Dominic's Primary and Crieff Primary Schools Schooldays only"
02/03/20,Dundee City Council,TAYSIDE PUBLIC TRANSPORT CO LTD,No,Standard National,3,Daily
06/12/19,Strathclyde Partnership for Transport,MCGILL'S BUS SERVICE LTD,Yes,Standard National,2,Daily
27/10/06,The City of Edinburgh Council,LOTHIAN BUSES LIMITED,No,Standard International,0,Service to only operate 26 Dec 06
21/06/04,Stirling Council,MIDLAND BLUEBIRD LTD,No,Standard National,0,
29/10/10,Dumfries & Galloway Council,MIDLAND BLUEBIRD LTD,No,Standard National,27,Daily.  Hourly frequency or less
13/07/15,Falkirk District Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,4,
02/10/09,The City of Edinburgh Council,MAC TOURS LTD,No,Standard National,5,"Daily 10-30 mins

REVISED ROUTE AND TIMETABLE MONDAY TO FRIDAY SATURDAY AND SUNDAY"
13/03/20,North Ayrshire Council,WESTERN BUSES LIMITED,Yes,Standard International,0,"Major racecourse event day only service, will only operate on major events at Ayr Racecourse. Timetable is for illustrative purposes only."
18/02/11,South Ayrshire Council,WESTERN BUSES LIMITED,No,Standard International,16,Extra trips added - Route unchanged.
18/05/15,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,0,Monday to Saturday
13/01/09,East Ayrshire Council,WESTERN BUSES LIMITED,No,Standard International,7,Mon - Sat evening & Sun all day sevice
15/05/08,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,No,Standard National,2,Evenings and Sundays Hourly.
29/07/04,The City of Edinburgh Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,4,"Monday to Friday.
No Service: 1/2 January & 25/26 December.
"
22/01/09,Dumfries & Galloway Council,WESTERN BUSES LIMITED,No,Standard International,5,Schooldays only. One return journey daily.
29/04/10,The City of Edinburgh Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,18,"This service will not operate 25,26 Dec 1,2 Jan. Curtailed service to apply between 27 Dec to 4 Jan Good Friday, Easter Monday, May Day and any public holiday and on similar dates in subsequent years"
08/06/09,Stirling Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,8,Temporary route in place until the Stevenson Bridge is reopened
26/07/18,Stirling Council,MIDLAND BLUEBIRD LTD,No,Standard National,23,"Revised Route & timetable. 

57C discountinued."
16/12/09,Aberdeen City Council,BLUEBIRD BUSES LIMITED,Yes,Standard International,0,Saturday 26th December 2009 only
03/06/22,Glasgow City Council,WESTERN BUSES LIMITED,No,Standard International,11,Increase of service level
18/04/16,Dumfries & Galloway Council,HARRIET JANET HOUSTON & WILLIAM JOHN HOUSTON,Yes,Standard National,3,Daily
14/04/21,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,Yes,Standard National,42,"Curtailed service to operate 25/26 Dec, 1/2 Jan and all public/local holidays, and on similar dates in subsequent years."
21/01/16,Highland Council,D & E COACHES LTD,Yes,Standard National,0,Monday to Saturday
25/03/21,South Ayrshire Council,WESTERN BUSES LIMITED,Yes,Standard International,8,Easter Monday and May Day holidays service levels increased
27/07/09,Falkirk District Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,0,"Monday to Friday, school days only."
01/06/09,Strathclyde Partnership for Transport,FIRST GLASGOW (NO2) LTD,No,Standard National,1,
17/01/22,The City of Edinburgh Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,11,Daily
10/12/02,Stirling Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,2,"Monday to Saturday.  Mainly 20 minute frequency.  Sunday.  Hourly frequency.  This service will not operate 25, 26 December, 1, 2 January.
Saturday service: 27 & 30 December.
Curtailed service: 24/31 December."
23/05/22,Highland Council,HIGHLAND COUNTRY BUSES LTD,No,Standard National,6,Hourly service Monday to Saturday infrequent service Sunday
27/03/20,Highland Council,SCOTTISH CITYLINK COACHES LTD,Yes,Standard National,28,"Temporary variation, in response to COVID-19 outbreak. Service reduced to one round trip daily"
12/09/05,Falkirk District Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,13,
07/12/12,Scottish Borders Council,MIDLAND BLUEBIRD LTD,Yes,Standard National,7,Daily Service
16/07/10,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,12,"Daily, Varied Frequency"
24/10/04,Western Isles Council,GALSON STORNOWAY MOTOR SERVICES LTD,Yes,Standard National,3,
09/12/05,Strathclyde Partnership for Transport,FIRST GLASGOW (NO1) LTD,No,Standard National,5,"This service will not operate 25 Dec or 1 Jan. 
Curtailed service to operate 
26 Dec, 2 Jan and all public/local holidays, and on similar dates in subsequent years."
21/07/16,Dundee City Council,FIFE SCOTTISH OMNIBUSES LTD,Yes,Standard International,1,Monday to Friday 0906 Cupar - Dundee journey removed
17/08/09,West Lothian Council,MCGILLâS SCOTLAND EAST LIMITED,Yes,Standard National,12,Daily Service
